011702201,664.5,
011702202,0,
011702203,612,
011702204,638.5,
011702205,0,
011702206,621,
011702207,613.5,
011702208,630.5,
011702209,635.5,
011702210,549.5,
011702211,603.5,
011702212,631,
011702213,605,
011702214,601.5,
011702215,660.5,
011702216,629,
011702217,641.5,
011702218,602,
011702219,593,
011702220,599.5,
011702221,583.5,
011702222,592.5,
011702223,587,
011702224,545,
011702225,623.5,
011702226,606.5,
011702227,640.5,
011702228,624.5,
011702229,609.5,
011702230,634.5,
011702231,627.5,
011702232,591,
011702233,624,
011702234,533,
011702235,579,
011702236,574.5,
011702237,588.5,
011702238,594,
011702239,616,
011702240,592,
011702241,548.5,
011702242,569.5,
011702243,560,
011702244,559.5,
011702245,601.5,
011702246,547.5,
011702247,464,
011702248,559,
011702249,580,
011702250,511,
011702251,463,
011702252,474.5,
011702253,486.5,
011702254,630.5,
011702255,599,
011702256,561,
011702257,560,
011702258,570.5,
011702259,565.5,
011702260,535.5,
011702261,589,
011702262,539,
